
New Run at  03/30/2015 14:51:21
, Time, exp3Access; exp3Clicks; exp3CTRRatio 
data,1241225400,176355.0;9523.0;1.25910297113
data,1241225700,177285.0;9567.0;1.25943242721
data,1241226000,178194.0;9604.0;1.25917714405
data,1241226300,179112.0;9648.0;1.25736068123
data,1241226600,180021.0;9684.0;1.25699357494
data,1241226900,180914.0;9714.0;1.2566059752
data,1241227500,181797.0;9756.0;1.25592096535
data,1241227800,182684.0;9798.0;1.25522197388
data,1241228100,183637.0;9838.0;1.25451099466
data,1241228400,184535.0;9874.0;1.25238930379
data,1241228700,185464.0;9922.0;1.25430541434
data,1241229000,186349.0;9959.0;1.25370080277
data,1241229600,187277.0;9999.0;1.25235569982
data,1241229900,188185.0;10035.0;1.25175401243
data,1241230200,189120.0;10063.0;1.25136527363
data,1241230500,190100.0;10107.0;1.2510737875
data,1241230800,191019.0;10149.0;1.25010263042
